Dynamic Position,Egt2RightPosX:,Egt2RightPosY:,Egt2RightPosZ:,Egt2LeftPosX:,Egt2LeftPosY:,Egt2LeftPosZ:
109,2.95972846,-4.769783495,0.7706759165,-2.95972846,-4.769783495,0.7706759165
110,3.19972846,-4.769783495,0.7706759165,-3.19972846,-4.769783495,0.7706759165
111,3.44972846,-4.769783495,0.7706759165,-3.44972846,-4.769783495,0.7706759165
112,3.70972846,-4.769783495,0.7706759165,-3.70972846,-4.769783495,0.7706759165
113,3.97972846,-4.769783495,0.7706759165,-3.97972846,-4.769783495,0.7706759165
114,4.25972846,-4.769783495,0.7706759165,-4.25972846,-4.769783495,0.7706759165
115,4.54972846,-4.769783495,0.7706759165,-4.54972846,-4.769783495,0.7706759165
116,4.84972846,-4.769783495,0.7706759165,-4.84972846,-4.769783495,0.7706759165
117,5.15972846,-4.769783495,0.7706759165,-5.15972846,-4.769783495,0.7706759165
118,5.47972846,-4.769783495,0.7706759165,-5.47972846,-4.769783495,0.7706759165
119,5.80972846,-4.769783495,0.7706759165,-5.80972846,-4.769783495,0.7706759165
120,6.14972846,-4.769783495,0.7706759165,-6.14972846,-4.769783495,0.7706759165
121,6.49972846,-4.769783495,0.7706759165,-6.49972846,-4.769783495,0.7706759165
122,6.85972846,-4.769783495,0.7706759165,-6.85972846,-4.769783495,0.7706759165
123,7.22972846,-4.769783495,0.7706759165,-7.22972846,-4.769783495,0.7706759165
124,7.60972846,-4.769783495,0.7706759165,-7.60972846,-4.769783495,0.7706759165
125,7.99972846,-4.769783495,0.7706759165,-7.99972846,-4.769783495,0.7706759165
126,8.39972846,-4.769783495,0.7706759165,-8.39972846,-4.769783495,0.7706759165
127,8.80972846,-4.769783495,0.7706759165,-8.80972846,-4.769783495,0.7706759165
128,9.22972846,-4.769783495,0.7706759165,-9.22972846,-4.769783495,0.7706759165
129,9.65972846,-4.769783495,0.7706759165,-9.65972846,-4.769783495,0.7706759165
130,10.09972846,-4.769783495,0.7706759165,-10.09972846,-4.769783495,0.7706759165
131,10.54972846,-4.769783495,0.7706759165,-10.54972846,-4.769783495,0.7706759165
132,10.09972846,-4.769783495,0.7706759165,-10.09972846,-4.769783495,0.7706759165
133,9.65972846,-4.769783495,0.7706759165,-9.65972846,-4.769783495,0.7706759165
134,9.22972846,-4.769783495,0.7706759165,-9.22972846,-4.769783495,0.7706759165
135,8.80972846,-4.769783495,0.7706759165,-8.80972846,-4.769783495,0.7706759165
136,8.39972846,-4.769783495,0.7706759165,-8.39972846,-4.769783495,0.7706759165
137,7.99972846,-4.769783495,0.7706759165,-7.99972846,-4.769783495,0.7706759165
138,7.60972846,-4.769783495,0.7706759165,-7.60972846,-4.769783495,0.7706759165
139,7.22972846,-4.769783495,0.7706759165,-7.22972846,-4.769783495,0.7706759165
140,6.85972846,-4.769783495,0.7706759165,-6.85972846,-4.769783495,0.7706759165
141,6.49972846,-4.769783495,0.7706759165,-6.49972846,-4.769783495,0.7706759165
142,6.14972846,-4.769783495,0.7706759165,-6.14972846,-4.769783495,0.7706759165
143,5.80972846,-4.769783495,0.7706759165,-5.80972846,-4.769783495,0.7706759165
144,5.47972846,-4.769783495,0.7706759165,-5.47972846,-4.769783495,0.7706759165
145,5.15972846,-4.769783495,0.7706759165,-5.15972846,-4.769783495,0.7706759165
146,4.84972846,-4.769783495,0.7706759165,-4.84972846,-4.769783495,0.7706759165
147,4.54972846,-4.769783495,0.7706759165,-4.54972846,-4.769783495,0.7706759165
148,4.25972846,-4.769783495,0.7706759165,-4.25972846,-4.769783495,0.7706759165
149,3.97972846,-4.769783495,0.7706759165,-3.97972846,-4.769783495,0.7706759165
150,3.70972846,-4.769783495,0.7706759165,-3.70972846,-4.769783495,0.7706759165
151,3.44972846,-4.769783495,0.7706759165,-3.44972846,-4.769783495,0.7706759165
152,3.19972846,-4.769783495,0.7706759165,-3.19972846,-4.769783495,0.7706759165
153,2.95972846,-4.769783495,0.7706759165,-2.95972846,-4.769783495,0.7706759165
154,2.72972846,-4.769783495,0.7706759165,-2.72972846,-4.769783495,0.7706759165
155,2.50972846,-4.769783495,0.7706759165,-2.50972846,-4.769783495,0.7706759165
156,2.29972846,-4.769783495,0.7706759165,-2.29972846,-4.769783495,0.7706759165
157,2.09972846,-4.769783495,0.7706759165,-2.09972846,-4.769783495,0.7706759165
