Dynamic Position,Egt2RightPosX:,Egt2RightPosY:,Egt2RightPosZ:,Egt2LeftPosX:,Egt2LeftPosY:,Egt2LeftPosZ:
52,7.944683394,-1.879555934,0.7873293963,-7.944683394,-1.879555934,0.7873293963
53,7.564683394,-1.879555934,0.7873293963,-7.564683394,-1.879555934,0.7873293963
54,7.194683394,-1.879555934,0.7873293963,-7.194683394,-1.879555934,0.7873293963
55,6.834683394,-1.879555934,0.7873293963,-6.834683394,-1.879555934,0.7873293963
56,6.484683394,-1.879555934,0.7873293963,-6.484683394,-1.879555934,0.7873293963
57,6.144683394,-1.879555934,0.7873293963,-6.144683394,-1.879555934,0.7873293963
58,5.814683394,-1.879555934,0.7873293963,-5.814683394,-1.879555934,0.7873293963
59,5.494683394,-1.879555934,0.7873293963,-5.494683394,-1.879555934,0.7873293963
60,5.184683394,-1.879555934,0.7873293963,-5.184683394,-1.879555934,0.7873293963
61,4.884683394,-1.879555934,0.7873293963,-4.884683394,-1.879555934,0.7873293963
62,4.594683394,-1.879555934,0.7873293963,-4.594683394,-1.879555934,0.7873293963
63,4.314683394,-1.879555934,0.7873293963,-4.314683394,-1.879555934,0.7873293963
64,4.044683394,-1.879555934,0.7873293963,-4.044683394,-1.879555934,0.7873293963
65,3.784683394,-1.879555934,0.7873293963,-3.784683394,-1.879555934,0.7873293963
66,3.534683394,-1.879555934,0.7873293963,-3.534683394,-1.879555934,0.7873293963
67,3.294683394,-1.879555934,0.7873293963,-3.294683394,-1.879555934,0.7873293963
68,3.064683394,-1.879555934,0.7873293963,-3.064683394,-1.879555934,0.7873293963
69,2.844683394,-1.879555934,0.7873293963,-2.844683394,-1.879555934,0.7873293963
70,2.634683394,-1.879555934,0.7873293963,-2.634683394,-1.879555934,0.7873293963
71,2.434683394,-1.879555934,0.7873293963,-2.434683394,-1.879555934,0.7873293963
72,2.244683394,-1.879555934,0.7873293963,-2.244683394,-1.879555934,0.7873293963
73,2.064683394,-1.879555934,0.7873293963,-2.064683394,-1.879555934,0.7873293963
74,1.894683394,-1.879555934,0.7873293963,-1.894683394,-1.879555934,0.7873293963
75,1.734683394,-1.879555934,0.7873293963,-1.734683394,-1.879555934,0.7873293963
76,1.584683394,-1.879555934,0.7873293963,-1.584683394,-1.879555934,0.7873293963
77,1.444683394,-1.879555934,0.7873293963,-1.444683394,-1.879555934,0.7873293963
78,1.314683394,-1.879555934,0.7873293963,-1.314683394,-1.879555934,0.7873293963
79,1.194683394,-1.879555934,0.7873293963,-1.194683394,-1.879555934,0.7873293963
80,1.084683394,-1.879555934,0.7873293963,-1.084683394,-1.879555934,0.7873293963
81,0.9846833941,-1.879555934,0.7873293963,-0.9846833941,-1.879555934,0.7873293963
